,location,date,verifier,fakenews
0,India,2020/06/11,FactCrescendo,"People who arrived at Tirur, Kerala (India) from Mumbai in train, escaped from the sight of the authorities to avoid quarantine."
1,Spain,2020/06/11,Maldita.es,"Claims from Spanish singer Miguel Bosé on the Bill and Melinda Gates foundation, that he made last Tuesday, June 9 through a Twitter thread on his personal account."
2,"Spain, Mexico",2020/06/11,Maldita.es,"Images of a man dressed in a hospital gown who seems to run away jumping a wall of the building. According to the caption, this man reported that he had gone to the health center to heal a wound in his hand when they assured him that he should be admitted for COVID-19 and that when “they were going to connect a ventilator, he decided to jump from the second floor and escape”."
3,Kenya,2020/06/10,PesaCheck,World Health Organization announcing that COVID-19 is losing its potency.
4,India,2020/06/10,Vishvas News,Hot steam and tea cure coronavirus.
5,India,2020/06/10,Vishvas News,There will be complete lockdown on June 15th in India.
6,Sri Lanka,2020/06/10,FactCrescendo,PCR tests were conducted on a journalist and his crew who attended late Minister Thondaman’s funeral as they had COVID19 symptoms.
7,Sri Lanka,2020/06/10,FactCrescendo,Dr Eliyantha White had developed a special medicine for COVID19 and was planning to use it on Sri Lankan Navy personnel with the approval of the Prime Minister.
8,Spain,2020/06/10,Maldita.es,"Images and texts that assure that the vice-president of the Spanish government, Pablo Iglesias, assumed the responsibilities of the nursing homes after the declaration of the state of alarm for the coronavirus."
9,Tanzania,2020/06/10,PesaCheck,Tanzania has developed a coronavirus drug called COVIDOL that can cure COVID-19.
10,Indonesia,2020/06/09,TEMPO,Vodka can reduce the risk of Coronavirus infection.
11,"Spain, India",2020/06/09,Maldita.es,A video of a 14-year-old Indian boy named Abhigya Anand who was alleged to have predicted the coronavirus in 2019.
12,Indonesia,2020/06/09,TEMPO,Swine flu virus is more dangerous than the novel coronavirus.
13,India,2020/06/09,Vishvas News,UV rays from the sun can cure COVID-19.
14,Indonesia,2020/06/09,TEMPO,The body in this video is a Covid-19 patient whose internal organs have been removed.
15,Brazil,2020/06/09,Agência Lupa,"The state government of Pernambuco, Brazil, shipped boxes of alcohol-based hand sanitizers to state hospitals, but there were only two bottles and a lot of sand on each box."
16,Brazil,2020/06/09,Agência Lupa,"During an interview to an Australian newspaper, a WHO official said the institution never recomended social isolation."
17,India,2020/06/09,FactCrescendo,Kerala (India) temple offers special Puja for curing COVID-19 and a rate card for the specific COVID19 prayer (rituals) has been created by the temple.
18,Brazil,2020/06/09,Agência Lupa,"A video of a “baile funk”, a kind of Brazilian party. On the caption, it is stated that the party was from last week, after the Supreme Court suspended police operations on Rio’s favelas during the pandemic."
19,India,2020/06/09,FactCrescendo,DPS (Delhi Public School) is selling masks with its logo printed on it to students for Rs.400 each.
20,Brazil,2020/06/09,Agência Lupa,The WHO stated that asymptomatic cases of COVID-19 do not contribute to the spread the disease.
21,Italy,2020/06/09,Facta,"A picture claiming that, starting from September, teachers will have to call an ambulance if a student has a fever at school."
22,Uganda,2020/06/09,PesaCheck,Ugandan President Kaguta Museveni and Prime Minister Ruhakana Rugunda have tested positive for COVID-19.
23,Spain,2020/06/09,Maldita.es,"A message accompanied by a photo of a poster from the Government delegation in Navarra, Spain, stating “international vaccination center”. According to the message that is circulating, “these ‘International Vaccination’ posters are beginning to be placed in government delegations, it will be the protocol of the new normal” after the quarantine of the coronavirus. It also says that the virus “was only an excuse to get us a mRNA (genetic software) vaccine synchronized to a digital identity.”"
24,Burundi,2020/06/09,PesaCheck,China is now using special glasses instead of laboratory equipment to screen for coronavirus.
25,Argentina,2020/06/08,Chequeado,An image of the Argentinian President Alberto Fernández with officials during the pandemic without masks and without respecting social distancing.
26,Italy,2020/06/08,Facta,A WhatsApp message claiming that Italian supermarket chain Conad is offering free shopping vouchers for €1.000 in Italy.
27,North Macedonia,2020/06/08,Vistinomer,"Text claims that the director of the Public Revenue Office of the Republic of North Macedonia, Sanja Lukarevska, tested positive for coronavirus and went to the hairdresser."
28,Spain,2020/06/08,Maldita.es,A WhatsApp message that states that COVID-19 means “Certificate of identification of vaccination with artificial intelligence”; which is intended through the disease to carry out an international plan for the control and reduction of populations.
29,India,2020/06/08,Vishvas News,Drinking pigeon membrane slurry can cure COVID-19.
30,Brazil,2020/06/08,Agência Lupa,"Donald Trump published on his Twitter account that Brazilian president “Javier” Bolsonaro is a “great guy”, but that his COVID-19 policies are leading to a “genocide”."
31,Brazil,2020/06/08,Agência Lupa,The Brazilian Ministry of Health forbade the expression “COVID-19 suspect” to be used on death certificates.
32,Brazil,2020/06/08,Agência Lupa,"Former Brazilian presidential candidate Fernando Haddad threw a birthday party, with guests, while advocating for lockdown."
33,Spain,2020/06/08,Maldita.es,"A message that states that “An asymptomatic person is a HEALTHY person. He is someone who has a virus but his body developed antibodies. This is called” attenuated virus “, which means that he dominated the virus thanks to his healthy lifestyle habits. This person does not spread the virus, but communicates antibodies to the rest of the people and generates herd immunity."
34,India,2020/06/08,FactCrescendo,Video shows a group of Muslim devotees spitting deliberately to spread coronavirus.
35,Argentina,2020/06/08,Chequeado,The vaccine against the new coronavirus has existed since 2001.
36,North Macedonia,2020/06/06,Vistinomer,Text claims that “two epidemiologists from the Institute of Public Health of the Republic of North Macedonia tested positive for coronavirus.”
37,Colombia,2020/06/05,La Silla Vacía,A man says that coronavirus was created to keep people inside homes and install 5G antennas.
38,India,2020/06/05,Vishvas News,Dr Uma Kumar of AIIMS gave an interview on coronavirus.
39,Italy,2020/06/05,Facta,A video where a man accuses the Italian Civil Protection and the government of Regione Piemonte of having distributed protective masks “poisoned” them with zinc pyrithione.
40,Brazil,2020/06/05,Agência Lupa,"The Anhembi field hospital, in São Paulo, Brasil is empty. A video allegedly proves it."
41,Brazil,2020/06/05,Agência Lupa,"Tasuku Honjo, Nobel prize winner, stated that the SARS-Cov-2 was made in a lab in Wuhan, where he used to work."
42,"Spain, Canada",2020/06/05,Maldita.es,A WhatsApp message that warns about the installation of an application called “COVID-19 ABTraceTogether”. The chain message asks the reader to to unfriend their friends on Facebook as well as delete their contacts’ phone numbers if they intend to use it because by doing so “everyone your contacts will be known “against” your will and knowledge”.
43,Brazil,2020/06/05,Estadão Verifica,Boldo tea prevents COVID-19.
44,Brazil,2020/06/05,Estadão Verifica,ICU units in Rio de Janeiro are closed because of lack of patients.
45,Brazil,2020/06/05,Estadão Verifica,Azithromycin and ivermectin are efficient medicines to cure COVID-19.
46,Portugal,2020/06/05,Poligrafo,List of recommendations from US virologist Robert Ray Redfield that has spread on social media.
47,Mali,2020/06/05,PesaCheck,"Wearing a mask, the exhaled viruses will not be able to escape and will concentrate in the nasal passages, penetrate the olfactory nerves, and then transit to the brain."
48,Italy,2020/06/04,Facta,"A WhatsApp message claiming that, once installed, the “Immuni” app (the Italian national contact-tracing application), will acquire users’ phonebooks."
49,Spain,2020/06/04,Maldita.es,Messages that claim that the Government knows where we are at all times thanks to an application that Google has installed on our phones.
50,Indonesia,2020/06/04,TEMPO,"The severity of the Covid-19 Case in Surabaya, Indonesia is caused by a “global elite conspiracy”."
51,Brazil,2020/06/04,Agência Lupa,"Renata Vasconcellos, one of Brazil’s most famous news anchor, contracted COVID-19."
52,Brazil,2020/06/04,Agência Lupa,"Maria Virgínia Casagrande, first lady of the Brazilian State of Espirito Santo, was cured of COVID-19 after being treated with a protocol of hydroxychloroquine and azithromycin."
53,"Argentina, Italy",2020/06/04,Chequeado,96.3% of the deaths registered in Italy by COVID-19 died from other pathologies.
54,"Argentina, Spain, Venezuela, Bolivia",2020/06/04,Chequeado,The use or abuse of the mask produces hypercapnia or hypoxia.
